,Host,Nested
0,WBGene00000096,WBGene00008063
1,WBGene00000814,WBGene00194700
2,WBGene00001555,WBGene00011434
3,WBGene00002583,WBGene00015093
4,WBGene00002583,WBGene00015094
5,WBGene00003020,WBGene00016332
6,WBGene00003258,WBGene00021834
7,WBGene00003799,WBGene00021354
8,WBGene00003799,WBGene00044810
9,WBGene00004318,WBGene00011920
10,WBGene00004969,WBGene00001773
11,WBGene00004978,WBGene00021641
12,WBGene00006440,WBGene00021639
13,WBGene00006532,WBGene00009344
14,WBGene00006594,WBGene00019693
15,WBGene00006618,WBGene00001960
16,WBGene00006820,WBGene00015631
17,WBGene00007277,WBGene00219796
18,WBGene00007597,WBGene00000612
19,WBGene00008317,WBGene00008316
20,WBGene00008570,WBGene00023411
21,WBGene00008665,WBGene00003564
22,WBGene00009178,WBGene00002026
23,WBGene00009314,WBGene00009315
24,WBGene00009455,WBGene00006682
25,WBGene00009456,WBGene00009457
26,WBGene00009962,WBGene00219450
27,WBGene00011232,WBGene00011234
28,WBGene00011970,WBGene00011971
29,WBGene00015704,WBGene00020656
30,WBGene00016561,WBGene00016565
31,WBGene00016836,WBGene00000012
32,WBGene00016836,WBGene00000013
33,WBGene00017795,WBGene00001592
34,WBGene00019074,WBGene00019081
35,WBGene00019323,WBGene00004778
36,WBGene00021683,WBGene00021679
37,WBGene00021685,WBGene00021690
38,WBGene00021685,WBGene00021691
39,WBGene00021685,WBGene00195068
40,WBGene00022026,WBGene00022030
41,WBGene00022121,WBGene00045398
42,WBGene00022121,WBGene00306080
43,WBGene00022138,WBGene00021768
44,WBGene00022148,WBGene00022160
45,WBGene00022148,WBGene00022161
46,WBGene00000088,WBGene00006272
47,WBGene00000199,WBGene00022111
48,WBGene00000199,WBGene00022112
49,WBGene00000199,WBGene00304792
50,WBGene00000492,WBGene00010327
51,WBGene00000492,WBGene00077764
52,WBGene00000967,WBGene00011376
53,WBGene00001980,WBGene00013130
54,WBGene00002119,WBGene00206528
55,WBGene00002717,WBGene00018596
56,WBGene00003068,WBGene00020858
57,WBGene00003068,WBGene00077519
58,WBGene00003186,WBGene00000625
59,WBGene00003472,WBGene00015175
60,WBGene00004049,WBGene00022108
61,WBGene00004275,WBGene00012266
62,WBGene00004946,WBGene00022125
63,WBGene00006423,WBGene00016742
64,WBGene00006790,WBGene00010114
65,WBGene00006805,WBGene00018868
66,WBGene00007054,WBGene00007158
67,WBGene00007275,WBGene00004437
68,WBGene00007620,WBGene00001145
69,WBGene00007655,WBGene00077684
70,WBGene00008064,WBGene00219284
71,WBGene00008532,WBGene00004931
72,WBGene00010498,WBGene00010499
73,WBGene00010498,WBGene00044679
74,WBGene00011344,WBGene00011345
75,WBGene00011827,WBGene00008890
76,WBGene00012139,WBGene00012140
77,WBGene00012139,WBGene00271567
78,WBGene00012193,WBGene00012194
79,WBGene00012393,WBGene00012391
80,WBGene00013201,WBGene00013202
81,WBGene00013672,WBGene00013684
82,WBGene00013711,WBGene00013712
83,WBGene00013955,WBGene00011380
84,WBGene00016159,WBGene00023409
85,WBGene00016325,WBGene00016320
86,WBGene00016330,WBGene00016327
87,WBGene00017855,WBGene00017853
88,WBGene00017855,WBGene00017854
89,WBGene00017858,WBGene00017851
90,WBGene00018923,WBGene00018921
91,WBGene00018923,WBGene00022028
92,WBGene00019434,WBGene00016945
93,WBGene00021334,WBGene00021328
94,WBGene00021470,WBGene00021468
95,WBGene00021661,WBGene00021658
96,WBGene00022281,WBGene00022282
97,WBGene00022635,WBGene00015907
98,WBGene00044414,WBGene00015500
99,WBGene00219450,WBGene00009960
100,WBGene00001757,WBGene00003431
101,WBGene00002184,WBGene00006617
102,WBGene00002957,WBGene00009355
103,WBGene00003133,WBGene00007502
104,WBGene00003367,WBGene00014848
105,WBGene00004038,WBGene00005352
106,WBGene00004122,WBGene00018047
107,WBGene00004122,WBGene00018048
108,WBGene00004122,WBGene00018049
109,WBGene00004122,WBGene00018050
110,WBGene00004232,WBGene00012607
111,WBGene00004704,WBGene00008433
112,WBGene00006495,WBGene00017947
113,WBGene00006495,WBGene00017948
114,WBGene00006603,WBGene00008963
115,WBGene00006988,WBGene00000252
116,WBGene00007050,WBGene00016974
117,WBGene00007490,WBGene00271803
118,WBGene00007744,WBGene00001840
119,WBGene00008140,WBGene00012148
120,WBGene00009354,WBGene00009729
121,WBGene00011044,WBGene00013148
122,WBGene00011335,WBGene00011336
123,WBGene00012033,WBGene00012035
124,WBGene00012149,WBGene00008743
125,WBGene00012203,WBGene00002227
126,WBGene00012989,WBGene00012988
127,WBGene00013171,WBGene00013172
128,WBGene00013189,WBGene00013190
129,WBGene00013189,WBGene00013192
130,WBGene00015115,WBGene00001438
131,WBGene00015945,WBGene00015946
132,WBGene00016020,WBGene00006611
133,WBGene00016160,WBGene00016161
134,WBGene00016300,WBGene00016306
135,WBGene00017284,WBGene00017290
136,WBGene00017284,WBGene00017292
137,WBGene00018196,WBGene00017183
138,WBGene00018273,WBGene00018275
139,WBGene00019279,WBGene00019282
140,WBGene00019407,WBGene00271818
141,WBGene00019940,WBGene00003888
142,WBGene00020163,WBGene00020168
143,WBGene00020579,WBGene00020580
144,WBGene00021146,WBGene00021134
145,WBGene00021146,WBGene00021135
146,WBGene00021146,WBGene00021136
147,WBGene00044641,WBGene00020150
148,WBGene00000046,WBGene00011633
149,WBGene00000090,WBGene00013388
150,WBGene00000240,WBGene00303068
151,WBGene00000648,WBGene00271830
152,WBGene00000887,WBGene00206502
153,WBGene00001532,WBGene00014173
154,WBGene00001615,WBGene00015514
155,WBGene00001872,WBGene00003784
156,WBGene00002147,WBGene00006832
157,WBGene00003789,WBGene00000659
158,WBGene00004040,WBGene00015455
159,WBGene00004166,WBGene00000296
160,WBGene00004504,WBGene00017742
161,WBGene00006787,WBGene00013852
162,WBGene00007488,WBGene00000251
163,WBGene00007488,WBGene00000616
164,WBGene00007488,WBGene00000655
165,WBGene00007488,WBGene00000656
166,WBGene00007670,WBGene00007669
167,WBGene00007690,WBGene00000286
168,WBGene00009245,WBGene00004120
169,WBGene00009401,WBGene00009402
170,WBGene00010055,WBGene00001031
171,WBGene00010055,WBGene00010052
172,WBGene00011473,WBGene00219289
173,WBGene00011755,WBGene00010881
174,WBGene00011965,WBGene00001061
175,WBGene00012230,WBGene00010719
176,WBGene00012845,WBGene00012844
177,WBGene00013255,WBGene00013266
178,WBGene00014151,WBGene00014157
179,WBGene00014172,WBGene00007022
180,WBGene00016120,WBGene00016114
181,WBGene00016316,WBGene00016310
182,WBGene00016968,WBGene00016960
183,WBGene00017373,WBGene00018274
184,WBGene00017842,WBGene00045455
185,WBGene00018304,WBGene00018298
186,WBGene00018304,WBGene00044221
187,WBGene00019341,WBGene00019339
188,WBGene00019341,WBGene00019340
189,WBGene00019615,WBGene00019614
190,WBGene00020784,WBGene00206412
191,WBGene00020897,WBGene00020896
192,WBGene00020897,WBGene00270303
193,WBGene00021790,WBGene00021780
194,WBGene00021985,WBGene00016334
195,WBGene00022882,WBGene00000650
196,WBGene00194890,WBGene00007220
197,WBGene00000276,WBGene00018999
198,WBGene00000519,WBGene00012937
199,WBGene00000846,WBGene00194726
200,WBGene00001135,WBGene00013986
201,WBGene00001662,WBGene00016410
202,WBGene00003158,WBGene00011219
203,WBGene00003559,WBGene00022660
204,WBGene00003562,WBGene00000666
205,WBGene00004343,WBGene00008002
206,WBGene00004856,WBGene00022722
207,WBGene00006576,WBGene00008001
208,WBGene00006615,WBGene00019916
209,WBGene00006975,WBGene00018834
210,WBGene00009595,WBGene00009592
211,WBGene00010840,WBGene00044069
212,WBGene00010909,WBGene00010906
213,WBGene00012272,WBGene00000667
214,WBGene00012272,WBGene00000668
215,WBGene00012272,WBGene00000669
216,WBGene00013850,WBGene00013847
217,WBGene00013914,WBGene00007209
218,WBGene00014022,WBGene00014031
219,WBGene00014218,WBGene00014224
220,WBGene00015099,WBGene00044674
221,WBGene00015156,WBGene00015163
222,WBGene00015156,WBGene00303033
223,WBGene00016029,WBGene00016030
224,WBGene00016219,WBGene00016226
225,WBGene00018149,WBGene00018155
226,WBGene00019301,WBGene00019302
227,WBGene00019301,WBGene00019303
228,WBGene00019380,WBGene00019382
229,WBGene00019832,WBGene00019837
230,WBGene00019994,WBGene00019995
231,WBGene00019994,WBGene00019996
232,WBGene00020436,WBGene00005159
233,WBGene00020436,WBGene00005160
234,WBGene00020436,WBGene00005161
235,WBGene00020436,WBGene00005162
236,WBGene00020436,WBGene00005163
237,WBGene00020436,WBGene00005164
238,WBGene00020436,WBGene00005165
239,WBGene00020436,WBGene00005166
240,WBGene00020436,WBGene00005167
241,WBGene00021244,WBGene00021249
242,WBGene00021751,WBGene00000081
243,WBGene00021848,WBGene00021853
244,WBGene00022103,WBGene00022356
245,WBGene00022104,WBGene00022106
246,WBGene00022170,WBGene00002244
247,WBGene00022170,WBGene00022175
248,WBGene00022170,WBGene00022176
249,WBGene00022170,WBGene00022177
250,WBGene00022170,WBGene00022178
251,WBGene00022170,WBGene00022179
252,WBGene00022170,WBGene00022180
253,WBGene00022170,WBGene00022181
254,WBGene00022170,WBGene00022182
255,WBGene00022170,WBGene00022185
256,WBGene00022338,WBGene00194746
257,WBGene00022482,WBGene00022495
258,WBGene00023489,WBGene00001160
259,WBGene00044681,WBGene00020760
260,WBGene00185078,WBGene00021124
261,WBGene00269433,WBGene00044222
262,WBGene00271774,WBGene00019835
263,WBGene00000160,WBGene00022196
264,WBGene00001078,WBGene00017692
265,WBGene00001118,WBGene00004796
266,WBGene00001284,WBGene00010035
267,WBGene00002169,WBGene00018136
268,WBGene00003892,WBGene00194855
269,WBGene00003936,WBGene00020550
270,WBGene00003941,WBGene00303095
271,WBGene00004164,WBGene00012721
272,WBGene00004760,WBGene00003112
273,WBGene00006662,WBGene00017695
274,WBGene00006987,WBGene00271775
275,WBGene00008654,WBGene00008656
276,WBGene00008654,WBGene00008659
277,WBGene00008654,WBGene00008660
278,WBGene00009372,WBGene00009373
279,WBGene00009372,WBGene00009377
280,WBGene00010132,WBGene00219298
281,WBGene00010813,WBGene00004451
282,WBGene00011503,WBGene00011501
283,WBGene00011735,WBGene00011736
284,WBGene00012097,WBGene00006509
285,WBGene00012126,WBGene00012125
286,WBGene00012548,WBGene00012549
287,WBGene00012558,WBGene00012557
288,WBGene00012648,WBGene00012649
289,WBGene00012802,WBGene00010142
290,WBGene00013232,WBGene00013233
291,WBGene00013447,WBGene00013448
292,WBGene00013580,WBGene00013581
293,WBGene00013983,WBGene00013989
294,WBGene00015131,WBGene00044678
295,WBGene00016203,WBGene00044634
296,WBGene00016203,WBGene00194730
297,WBGene00017805,WBGene00017803
298,WBGene00017807,WBGene00017802
299,WBGene00017829,WBGene00005012
300,WBGene00019812,WBGene00019809
301,WBGene00019882,WBGene00019878
302,WBGene00020964,WBGene00000435
303,WBGene00021535,WBGene00021532
304,WBGene00021535,WBGene00021533
305,WBGene00022598,WBGene00022596
306,WBGene00000288,WBGene00007265
307,WBGene00000376,WBGene00235129
308,WBGene00000975,WBGene00003434
309,WBGene00001132,WBGene00011708
310,WBGene00001579,WBGene00018926
311,WBGene00004157,WBGene00020983
312,WBGene00004995,WBGene00001956
313,WBGene00006483,WBGene00018338
314,WBGene00006599,WBGene00015247
315,WBGene00006620,WBGene00015572
316,WBGene00006620,WBGene00015573
317,WBGene00006814,WBGene00194883
318,WBGene00007202,WBGene00007203
319,WBGene00008274,WBGene00000693
320,WBGene00008555,WBGene00010829
321,WBGene00008583,WBGene00000704
322,WBGene00008706,WBGene00001733
323,WBGene00008706,WBGene00008712
324,WBGene00008750,WBGene00008760
325,WBGene00010150,WBGene00010149
326,WBGene00010374,WBGene00010373
327,WBGene00010448,WBGene00010446
328,WBGene00010448,WBGene00045096
329,WBGene00010448,WBGene00194869
330,WBGene00011222,WBGene00004972
331,WBGene00011290,WBGene00011295
332,WBGene00012015,WBGene00012016
333,WBGene00012121,WBGene00012122
334,WBGene00012121,WBGene00206515
335,WBGene00012763,WBGene00001066
336,WBGene00012767,WBGene00012766
337,WBGene00012786,WBGene00012785
338,WBGene00012866,WBGene00004239
339,WBGene00013119,WBGene00013118
340,WBGene00013637,WBGene00013636
341,WBGene00016877,WBGene00000711
342,WBGene00016918,WBGene00235274
343,WBGene00016957,WBGene00016958
344,WBGene00017071,WBGene00017073
345,WBGene00017578,WBGene00000675
346,WBGene00017907,WBGene00000287
347,WBGene00018168,WBGene00018170
348,WBGene00018547,WBGene00018549
349,WBGene00018547,WBGene00018550
350,WBGene00018547,WBGene00018551
351,WBGene00018547,WBGene00020929
352,WBGene00018547,WBGene00235115
353,WBGene00019069,WBGene00019067
354,WBGene00019955,WBGene00019954
355,WBGene00021281,WBGene00021284
356,WBGene00021281,WBGene00021285
357,WBGene00021406,WBGene00021407
358,WBGene00021872,WBGene00044492
359,WBGene00021895,WBGene00021880
360,WBGene00022087,WBGene00022093
361,WBGene00022232,WBGene00022243
362,WBGene00000246,WBGene00010883
363,WBGene00000889,WBGene00013809
364,WBGene00000906,WBGene00001444
365,WBGene00001492,WBGene00021403
366,WBGene00001795,WBGene00007335
367,WBGene00002080,WBGene00219436
368,WBGene00002223,WBGene00011337
369,WBGene00002243,WBGene00189961
370,WBGene00003794,WBGene00021516
371,WBGene00004804,WBGene00020585
372,WBGene00004824,WBGene00018930
373,WBGene00004881,WBGene00194832
374,WBGene00004929,WBGene00016056
375,WBGene00006415,WBGene00009549
376,WBGene00007698,WBGene00000698
377,WBGene00008775,WBGene00044784
378,WBGene00009010,WBGene00009009
379,WBGene00009541,WBGene00000775
380,WBGene00011454,WBGene00000696
381,WBGene00012341,WBGene00000697
382,WBGene00012868,WBGene00012635
383,WBGene00012868,WBGene00012869
384,WBGene00012890,WBGene00012885
385,WBGene00013804,WBGene00013806
386,WBGene00015555,WBGene00015549
387,WBGene00016427,WBGene00000681
388,WBGene00016700,WBGene00000603
389,WBGene00016702,WBGene00016699
390,WBGene00016769,WBGene00016766
391,WBGene00016769,WBGene00235271
392,WBGene00017489,WBGene00017484
393,WBGene00017597,WBGene00020084
394,WBGene00017597,WBGene00235120
395,WBGene00017992,WBGene00017990
396,WBGene00018130,WBGene00018118
397,WBGene00018130,WBGene00018119
398,WBGene00018130,WBGene00018120
399,WBGene00018319,WBGene00018318
400,WBGene00019902,WBGene00019896
401,WBGene00020686,WBGene00020684
402,WBGene00021153,WBGene00021154
403,WBGene00021509,WBGene00021505
404,WBGene00021877,WBGene00219424
405,WBGene00021882,WBGene00021871
406,WBGene00022675,WBGene00045248
407,WBGene00206469,WBGene00010241
408,WBGene00235279,WBGene00022066
409,WBGene00000534,WBGene00019805
410,WBGene00001211,WBGene00008244
411,WBGene00002078,WBGene00022813
412,WBGene00002078,WBGene00022814
413,WBGene00003011,WBGene00195166
414,WBGene00003242,WBGene00016499
415,WBGene00003242,WBGene00016504
416,WBGene00003242,WBGene00016505
417,WBGene00004026,WBGene00006585
418,WBGene00004037,WBGene00045402
419,WBGene00004754,WBGene00013752
420,WBGene00005105,WBGene00206503
421,WBGene00006665,WBGene00005005
422,WBGene00006665,WBGene00235118
423,WBGene00006665,WBGene00235317
424,WBGene00006665,WBGene00271815
425,WBGene00008265,WBGene00007049
426,WBGene00008597,WBGene00010980
427,WBGene00008995,WBGene00008996
428,WBGene00009094,WBGene00009096
429,WBGene00010383,WBGene00010382
430,WBGene00010386,WBGene00010385
431,WBGene00011328,WBGene00011327
432,WBGene00012293,WBGene00012294
433,WBGene00012310,WBGene00005823
434,WBGene00012527,WBGene00004909
435,WBGene00012776,WBGene00012777
436,WBGene00012776,WBGene00012778
437,WBGene00012814,WBGene00012815
438,WBGene00012814,WBGene00077688
439,WBGene00013855,WBGene00013854
440,WBGene00013855,WBGene00206460
441,WBGene00014098,WBGene00003057
442,WBGene00014098,WBGene00014099
443,WBGene00016508,WBGene00045308
444,WBGene00016816,WBGene00016817
445,WBGene00017534,WBGene00017536
446,WBGene00017534,WBGene00017537
447,WBGene00017608,WBGene00017606
448,WBGene00017614,WBGene00017619
449,WBGene00018216,WBGene00018221
450,WBGene00018285,WBGene00018291
451,WBGene00019624,WBGene00006129
452,WBGene00019624,WBGene00019626
453,WBGene00020058,WBGene00020063
454,WBGene00020891,WBGene00271821
455,WBGene00021080,WBGene00021079
456,WBGene00021301,WBGene00044516
457,WBGene00021617,WBGene00195160
458,WBGene00022015,WBGene00022020
459,WBGene00022629,WBGene00194928
460,WBGene00044205,WBGene00011753
461,WBGene00000233,WBGene00050968
462,WBGene00000562,WBGene00077582
463,WBGene00000813,WBGene00303370
464,WBGene00001043,WBGene00012318
465,WBGene00001043,WBGene00012321
466,WBGene00001258,WBGene00013583
467,WBGene00001539,WBGene00009097
468,WBGene00001553,WBGene00194785
469,WBGene00001629,WBGene00013828
470,WBGene00003143,WBGene00007150
471,WBGene00003173,WBGene00008245
472,WBGene00004032,WBGene00008644
473,WBGene00004130,WBGene00018824
474,WBGene00006140,WBGene00012063
475,WBGene00006140,WBGene00012066
476,WBGene00006140,WBGene00012067
477,WBGene00006436,WBGene00001374
478,WBGene00006437,WBGene00019520
479,WBGene00006934,WBGene00011891
480,WBGene00008997,WBGene00008993
481,WBGene00009029,WBGene00009030
482,WBGene00009337,WBGene00235322
483,WBGene00009978,WBGene00206516
484,WBGene00009986,WBGene00045195
485,WBGene00010178,WBGene00006169
486,WBGene00010259,WBGene00010262
487,WBGene00010284,WBGene00010285
488,WBGene00011261,WBGene00011262
489,WBGene00011261,WBGene00011266
490,WBGene00011261,WBGene00014826
491,WBGene00011592,WBGene00011591
492,WBGene00011802,WBGene00194787
493,WBGene00012319,WBGene00012851
494,WBGene00012533,WBGene00194708
495,WBGene00013361,WBGene00013829
496,WBGene00013825,WBGene00013824
497,WBGene00013873,WBGene00013876
498,WBGene00013873,WBGene00013879
499,WBGene00015260,WBGene00015254
500,WBGene00015273,WBGene00015272
501,WBGene00015371,WBGene00015366
502,WBGene00015968,WBGene00015964
503,WBGene00019180,WBGene00019177
504,WBGene00019465,WBGene00019464
505,WBGene00021561,WBGene00003704
506,WBGene00022259,WBGene00235321
507,WBGene00022285,WBGene00022284
508,WBGene00044191,WBGene00009652
509,WBGene00044512,WBGene00021003
510,WBGene00044738,WBGene00016815
511,WBGene00001863,WBGene00008868
512,WBGene00002177,WBGene00018038
513,WBGene00004191,WBGene00023500
514,WBGene00006479,WBGene00015264
515,WBGene00008693,WBGene00195213
516,WBGene00009560,WBGene00004123
517,WBGene00010716,WBGene00164969
518,WBGene00011679,WBGene00000618
519,WBGene00011771,WBGene00011772
520,WBGene00011771,WBGene00304822
521,WBGene00012259,WBGene00012260
522,WBGene00012326,WBGene00001445
523,WBGene00012326,WBGene00001446
524,WBGene00012326,WBGene00044686
525,WBGene00015800,WBGene00015805
526,WBGene00017241,WBGene00303053
527,WBGene00019779,WBGene00002234
528,WBGene00020134,WBGene00003740
529,WBGene00020134,WBGene00003760
530,WBGene00020134,WBGene00003761
531,WBGene00020134,WBGene00020136
532,WBGene00020504,WBGene00043981
533,WBGene00022745,WBGene00022746
534,WBGene00195214,WBGene00195213
535,WBGene00000993,WBGene00020811
536,WBGene00002150,WBGene00019722
537,WBGene00004036,WBGene00009283
538,WBGene00004764,WBGene00010570
539,WBGene00008094,WBGene00002282
540,WBGene00008094,WBGene00006366
541,WBGene00008094,WBGene00008093
542,WBGene00008735,WBGene00008736
543,WBGene00008735,WBGene00008737
544,WBGene00008866,WBGene00008869
545,WBGene00008901,WBGene00000016
546,WBGene00008901,WBGene00000017
547,WBGene00008901,WBGene00004006
548,WBGene00008901,WBGene00004007
549,WBGene00008901,WBGene00004345
550,WBGene00008901,WBGene00006174
551,WBGene00008901,WBGene00006175
552,WBGene00008901,WBGene00009057
553,WBGene00008901,WBGene00011938
554,WBGene00008999,WBGene00009000
555,WBGene00010011,WBGene00010007
556,WBGene00011083,WBGene00011081
557,WBGene00011104,WBGene00011103
558,WBGene00011684,WBGene00011685
559,WBGene00016467,WBGene00021150
560,WBGene00020130,WBGene00020691
561,WBGene00020765,WBGene00020764
562,WBGene00021324,WBGene00002031
563,WBGene00022501,WBGene00022500
564,WBGene00022666,WBGene00022665
565,WBGene00022858,WBGene00000608
566,WBGene00044304,WBGene00015170
